id,username,text,sentiment,textblob,accountAge
0,klm22,donwinslow Thinking tRump immediately put his thumb on the scale in GA GOP in GA wont ever bring the case,0.0,0.0,2
1,Capt N Beefheart (Zig Zag Wanderer),RT monacharen This holds up incredibly well Trumps intellectuals called for violence in the run up to Jan 6  Meet Trumps ProInsurr,0.0404,0.9,3
2,L Hudd,donwinslow Trump is not going to jail,0.0,-0.1,7
3,LadyGhost,Former Arizona GOP Senate candidate Daniel McCarthy CONDEMNS Trump and challenges him to a 1 million debate at his httpstcoVVzqQXS2Tp,-0.5766,0.0,1
4,Rocko,RT ShawnMcCreesh Will never forget having a drink in Dupont Circle with a Trump White House staffer on January 5th and saying I already,0.1695,0.0,2
5,@MartiniDude says #SeditionHasConsequences 🇺🇸,RT HLMenckensGhost Jesus and Trump httpstcoTKJFUt8AE8,0.0,0.0,10
6,SaveMotherEarth🇺🇸,RT lisakrstin Republican Jesus and Trump cant tell us a single Bible verse they like because they actually dont know any  httpst,0.3612,-0.03571428571428571,4
7,Nchanted Heart 💖,RT JohnFugelsang The only thing Jesus and Trump have in common is that they both hung out with hookers amp they both used ghostwriters,0.0,-0.15,2
8,Pragmatic Pessimistic #Vaccinated,RonFilipkowski didnt Ivanka get a trademark a couple of years ago in China for a line of voting machines Are the httpstcoo11D11GJiz,0.0,0.0,13
9,M̳a̳n̳e̳e̳s̳h̳”̳J̳a̳y̳”̳S̳h̳a̳r̳m̳a̳™🇺🇸😷,KKanner123 StrictlyChristo Trump was brought up in a fuked up way meaninggreed is good always one up never ad httpstcoSKOvHTbRII,-0.4215,0.7,5
10,Jean Guerrero,NEW COLUMN Jan 6 was a national comingout party for the political rights mass insurrectionist movement A full httpstcoUVG0kry3lk,0.4019,0.14069264069264067,11
11,Enola,RT BillKristol I think its nice that Trump wants to commemorate his being silent and missing in action for 187 minutes last January 6 b,-0.5423,0.11666666666666668,13
12,New England Girl,RT GeorgePapa19 Greene drops major news after call with TrumphttpstcoyKbiAhUpKJ,0.0,0.0625,8
13,OhMyRUDY!,RT donwinslow Dear Merrick GarlandSetting everything else aside please explain to the American people why the Justice Dept has not pr,0.8074,0.0,2
14,DFlindy,RT tribelaw Heres my Guardian essay on why we must not cannot will not lose our democracy  despite this time of maximum peril Even j,-0.5619,0.0,9
15,Marlon Hayes ♉️,RT donwinslow Trump was going to jail via Mike CohenStormy DanielsTrump was going to jail via MuellerTrump was going to jail via SDN,0.0,-0.10000000000000002,7
16,Paulo Assis,AlineMidlej Deixa o homem Ele j tinha as convices dele antes de Trump ou BolsonaroAlis Trump tomou todas Eu tambmComo sempre,0.0,0.0,13
17,Offred Rogue,RT AriBerman Its absurd Mitch McConnell can kill filibuster to confirm 3 Trump justices with 51 votes to take away voting rights but it,-0.431,-0.5,5
18,Nanni: Former Host Body,RT duty2warn DeSantis clearly struggled with breathing today He looked lousy his chest heaved repeatedly and he sounded like he has or,-0.1779,-0.19999999999999998,5
19,Rocky Top,RT RandyRRQuaid Trump would have fixed the I95 nightmare what kind of President leaves 1000s of Americans stuck on a major Interstate,-0.25,0.25416666666666665,9
20,jo,safety they got a bunch of trump signs and hh allins brother sells records to them lmao httpstcoaMyi9OkCep,0.5994,0.6,10
21,Shiningthelight...,This is a compilation of antifa destroying our capitol while posing as Trump supporters A lot of work went into th httpstcoSYXLgPXaRI,-0.1779,-0.2,6
22,Jayne Madison,POTUS The highest numbers since the pandemic began Remember when everyone said Trump was a murderer with blood on his hands,-0.6808,0.0,1
23,Son_of_Perdition,Whats the overunder on tRump leaving the country and leaving his kid high and dry,0.0,0.046666666666666676,9
24,𝕮𝖆𝖕𝖎𝖙𝖆𝖑𝖎𝖘𝖙 |#Freedom🇫🇮 🇺🇸 🇮🇱,RT ElectionWiz Tomorrow Trump should be standing at a microphonePresenting on the fraudCalling for the release of the political p,-0.5859,0.0,7
25,Seth ✡🏳️‍🌈,Jesus and Trump are trending Im not a huge fan of either of them,-0.4449,-0.20000000000000004,13
26,GiGi Gator Girl,SalinetRick coxad1449 Ldogls GDThor1 RegVickers MairScott3 keriRN poppij bettypge69 BlueSwede2000 httpstcoL0DbKH4pSM,0.0,0.0,8
27,Leebo #VoteBlue22,RT VABVOX I dont know why Jesus and Trump is trendingbut everyone knows Jesus was a brownskinned socialist who urged his followers to,0.0,0.0,12
28,§\/€. (wear a mask) #resist 💉💉💉,RT caslernoel The DOJ had its first case against Donald Trump in 1973 for racial discrimination when he was 27 but they finally got him,0.0,0.125,1
29,わたさん,RT SenSchumer I spoke at todays Rules Committee hearing on protecting our Capitol after the January 6 insurrectionBecause the root cau,0.0,0.0,2
30,SpeakUp StandUp,RT timeindawater1 6 Donald Trump amp his campaign started grooming his supporters for violence when they realized they were down in the po,-0.296,-0.15555555555555559,11
31,Karla Oleson Tritle,RT TristanSnell So exactly how many votes were fraudulently cast for Trump at The Villages in Florida in 2020,0.0,0.375,10
32,Constitution Sue,RT LilyPotter130 Trump has endorsed three secretary of state candidates so far  Finchem in Arizona Hice in Georgia and Kristina Karamo,0.25,0.1,8
33,Southern Nana 🇺🇸🌊✍,RT JohnBonifaz BREAKING We are proud FSFP to announce a new partnership with OurRevolution to ensure that chief election officials fol,0.6908,0.4681818181818182,8
34,Jamie Jackson,RT ElieNYC Garland We continue to seek the publics assistance in identifying those individuals who attacked the governmentMe DONALD,-0.4588,0.0,7
35,BrunoGotez,RT ResisterForever For the first time in years Trump isnt my biggest worry Its the coup operating in darkness even as I type this,-0.5994,0.25,13
36,presto123🥁,IsabellaMDeLuca You want to date Donald Trump as well right lol,0.6369,0.5428571428571429,5
37,Darrell Jones - ✍️HMPBs,SoopremeKommand TheRealHoarse SRMillar3 httpstco4FUtwIL3oc,0.0,0.0,9
38,Valkyria Fearnley,EricTrump CNN Biden will address trumps role in the capitol attack tomorrow January 6th including the singular r httpstcoxnItN5UL5y,-0.4767,0.0,1
39,"Trevor ""Trev"" McKee Achilles",RT caslernoel Trump was the guy who said something so gross and sordid while in a cokedout frenzy at Mar a Lago before a bevy of NFL Bu,-0.7424,0.0,8
40,Kia Bella,RT okgirlfriend POTUS Man this is painful You werent my first choice but I tried for so long to support you and overlook your flaws,0.458,-0.16666666666666666,12
41,Steven Hudson ⚛️✊🏽,Expresident in the crosshairs Jan 6 committee puts Trump on notice as US marks riot anniversary httpstcolLgn54paZP,-0.5574,0.0,5
42,Jane Deorn 🇺🇸,RT TheClearCider I wonder if Sean Hannity seanhannity has contacted his team of super attorneys for their  Err  HIS statement tonigh,0.5994,0.3333333333333333,4
43,Who Will Enforce the Law?,RT EditorofEric PM news Former President Trump looking at prison very strongly Mitch McConnell has fairweather friendship wi,0.2484,0.2816666666666667,5
44,flora,CheriJacobus Because GOP PROTECT GOP If a Dem did what Trump did theyd have been removed amp in jail indefinitely  JoeBiden WHCOS,0.516,-0.1,7
45,j watson,RSBNetwork F you Trump,0.0,0.0,2
46,brian o,RT littleredblog MAGA nation should rise up Trump sends out incendiary message to followers on eve of Capitolriot anniversary https,0.0,0.0,6
47,jp240sx_sr20,RT CheriJacobus By distracting us with pretending to almostmaybesomeday indict Trump for 16 crimes Garland wants us to forget all of,-0.4019,0.2,8
48,Marti Gommermann,RT RealPatriot56 One year ago tonight Ray Epps and dirty Feds were in DC telling Trump supporters to storm the Capitol the next day It,0.0,-0.3,7
49,SpeakUp StandUp,RT timeindawater1 5Donald Trump was not planning a peaceful rally Trump campaign amp dark money groups invested in getting as many people,-0.3875,0.19999999999999998,11
50,Ms. Morris,RT patriottakes Trump did an interview with OAN and then the crew got autographsSuper objective journalism right here httpstco6w,0.5994,0.20634920634920637,5
51,Good Trouble 🐶,RT JuddLegum 214 elected officials assisted Trumps effort to overturn the electionhttpstcoru8jhNAtEV,0.0,0.0,2
52,Liberdade: nosso bem maior,gugachacra UaiAgora voc  f do Trump S para falar de BolsonaroQue tal fazer a lio de casa e pesquisar q httpstcoRpLOjqKTk0,0.0,0.0,10
53,Dana Gwin💙BidenHarris2020,RT GlennKesslerWP GOP officials in Maricopa County released a 93page report rebutting pointbypoint claims of election fraud championed,-0.5859,0.0,2
54,Brenda Abramson 🇺🇸,RT erikhalvorsen18 JoyceWhiteVance Follow the money httpstcoiifeoPGb83,0.0,0.0,9
55,Greg,RT donwinslow Dear Merrick GarlandSetting everything else aside please explain to the American people why the Justice Dept has not pr,0.8074,0.0,13
56,vcasti46PT2,RT GOPChairwoman On the filibuster Democrats are complete hypocrites They used the filibuster 327 times during Trumps last year in o,0.0,0.05,1
57,Tank James,RT jennycohn1 According to Roger Stone Roy Cohn once told mob boss Fat Tony Salerno that everythings fixed including the Supr,0.0,0.1,8
58,Elisa Davis,mikesisak MikeBalsamo1 Thanks Crucial text Trump administration holdover,0.4404,0.1,11
59,Says 'Equal Justice Under Law' above SCOTUS' doors,RT RBReich Remember when McConnell got rid of the filibuster to confirm Trumps SCOTUS nominees Dems could do the samebut for voting,0.0,0.0,13
60,PPEmpire,RT johnmad79449554 Jesus and Trump  Incestuous lust httpstcoDDEXcg7Afq,0.0,0.0,1
61,Merton Gaudette,RT RBReich Remember when McConnell got rid of the filibuster to confirm Trumps SCOTUS nominees Dems could do the samebut for voting,0.0,0.0,11
62,Zay,RT TimRunsHisMouth How many taxpayer dollars have been wasted investigating Trump to try to convict him of ANYTHING,-0.4939,0.15,10
63,Barbara Jordan Fan,AZKellyT Donald Trump perfectly described,0.6369,1.0,1
64,Jenn Prefers Wine To Water,RT PaulRudnickNY In discussing Trump and his supporters and their crimes on Jan 6th today Jenn Psaki referred to the truth of what ha,0.6369,0.0,11
65,aka OyVeyMama,MeidasTouch He sounds like Trump did when he first came home from hospital and pretended he was superman and pul httpstcoR71NV7NcOH,0.3612,0.25,5
66,Neal S. Lachman,RT CREWcrew Investigate Donald TrumpInvestigate Mark Meadows httpstcoULG0FVHkZE,0.0,0.0,12
67,John Lundin 🌊,RT johnlundin Jesus and Trump  two people who were never Christians,0.0,0.0,14
68,mika 💗,imtransphobic AEWandTNAfan5 1 Trump literally tried to make it impossible for us to get healthcare they would httpstcoCCMdkS4934,0.0,-0.6666666666666666,6
69,Marcelo Santos,RT KenRoth Authoritarianswant to control the truth Truth has its own authority which a strongman must defeatin the minds of his,0.6808,0.6,2
70,IT’S A MiLLER THING,RT wolfblitzer White House Press Secretary Jen Psaki says President Biden will be blunt tomorrow morning in laying out the singular resp,0.0,0.0,3
71,kyra,Why is there a global effort says the woman who made Trump look smart last week during a global pandemic  httpstco6SoECdTrbt,0.4019,0.05357142857142857,11
72,Bruce 🇺🇸🇺🇸,catturd2 Its so funny and ironic how you black the Fauci followers for being in a cult when you literally will fo httpstcotRovV7DPzt,0.4548,0.09444444444444444,6
73,LindyLou,RT noplaceforsheep Remember when we used to wake up amp rush to see what Trump did overnightWell now its Morrison,0.2732,0.0,9
74,Phil Gorman,Will the USA fall under an authoritarian dictatorTrumps cultlike control of Republican party grows stronger httpstcoD9LdHukr4V,0.4019,0.0,8
75,Harold21,RT realLizUSA ICYMI Trump leads all Republicans in poll on 2024 presidential electionhttpstcogpJ3kjlxVn httpstco8CsYDfNQ10,0.0,0.0,1
76,Gerri Clyatt,RT Acyn Liz Cheney The committee has firsthand testimony now that Trump was sitting in the dining room watching the attack on television,-0.4767,0.0,6
77,SpeakUp StandUp,RT timeindawater1 4 After the Capitol was stormed amp people died Donald Trump tweets  He tells insurrectionists he loves them  Then wi,0.0258,0.0,11
78,Lou Zexxlo,WHY ARE SO MANY WHITE GUYS AFRAID OF TRUMP  HES A COWARDFormer DA Cy Vance was also under Trumps spell httpstcoHLViFppWFA,-0.5766,-0.024999999999999994,1
79,Sandra Di Gaetano,Gee Hannity Fox face ethical issues over Trump text revelations OMG whos shocked by thisHannity Fox fa httpstcoWnoxzuVIp3,0.3695,-0.24999999999999997,2
80,Jim McGonigle,frankstop Sooo many dildos in DC working for Trumpunreal,0.0,0.5,8
81,§\/€. (wear a mask) #resist 💉💉💉,RT ZaleskiLuke Trump is a filthy disgusting lying TRAITOR,-0.7783,-0.9,1
82,Well it's 2022 & Ted Cruz is still a stupid POS!,RT lmauricecpr If you can proudly say that you never followed Trump when he was on Twitter hit like or retweet,0.7269,0.8,3
83,mauropcruz,RT HELIODOPTERO Rodolfo Hernndez patn obvio arbitrario mentiroso con una fortuna oscura y el pelo pintado es el Trump colombiano,0.0,0.0,11
84,Truth Seeker,RT erikhalvorsen18 natsechobbyist CNN NewDay brikeilarcnn JohnBerman The View had her number httpstcoY0Szk2389S,0.0772,0.0,9
85,Kat Schneider ✍ 🔬 💉💉💉,RT jennycohn1 Roy Cohn mentored Trump amp Roger Stone He advised everyone from Catholic archbishops to Mafia clients like Anthony Fat To,0.3612,0.0,5
86,Joey Cortese,RT realLizUSA ICYMI Trump leads all Republicans in poll on 2024 presidential electionhttpstcogpJ3kjlxVn httpstco8CsYDfNQ10,0.0,0.0,11
87,Ric007,RT noplaceforsheep Remember when we used to wake up amp rush to see what Trump did overnightWell now its Morrison,0.2732,0.0,2
88,Stephen Brown,RT rumandnukacola Lets not forget Harpers little trip down to  see Trump too,0.1695,-0.17152777777777778,10
89,fang51dad,RT TrentCapelli If youve been paying attention at all Trump has been a criminal a racist a misogynist and a fraud for decades He jus,-0.9042,-0.4,3
90,Rhonda,RT SenSchumer Unless we confront Trumps Big LieUnless we fortify and strengthen our democracyThe political violence of January 6 ris,-0.5423,0.0,14
91,KAZ,RT Ignatz58 Jesus and Trump  Trump despises and hates everything Jesus stood for httpstcoolNCYjHbxT,-0.7096,0.0,13
92,Chris,RT Apoctoz Yearly reminder the only thing Trump incited was Schumers erection  httpstco7J0qhSiQA8,0.0,0.0,13
93,Philip Bouchard,RT AvengerResister Lindsey Graham once asked Georgia election officials to find more votes for Trump They should be investigating him,0.0,0.5,2
94,Kathi Domalski,RT ianbremmer The US midterms could let Trump and his allies set up a situation to actually steal the election in 2024 eurasiagroups ,-0.4939,0.0,13
95,Sallie 🐈‍⬛ #BanFox,RT JohnBonifaz BREAKING We are proud FSFP to announce a new partnership with OurRevolution to ensure that chief election officials fol,0.6908,0.4681818181818182,3
96,Justme Anybody,GlammaCooking POTUS VP Hannity Ingraham Ivanka Meadows were all calling Trump Republican Senators Congressman s httpstcoZCfPyuxaB5,0.0,0.0,2
97,A.L.,RT RBReich Remember when McConnell got rid of the filibuster to confirm Trumps SCOTUS nominees Dems could do the samebut for voting,0.0,0.0,8
98,Future Dr Wood,WSMV BMerin3 We know who did it We know who incited it Lets lock trump up,0.0,0.0,1
99,PoorlyDrawnPolitics,Why would Trump do thatmajorityfm httpstcoujEReNTFad,0.0,0.0,6
